점포명,주소,전화번호
코끼리편의점,전라북도 김제시 금산면 선비로 500 코끼리편의점,063-545-4138
2해피(HAPPY),인천광역시 남동구 수인로 3687 (장수동) 2해피,
무림슈퍼,경기도 안양시 만안구 석천로211번길 63 (석수동) 1층,031-471-4160
사랑마트,"전라남도 여수시 웅천로 291 (웅천동, 여수웅천 부영3차) 상가동 102호 사랑마트",061-681-6566
해광한신마트,광주광역시 서구 상무공원로 112 (치평동) 상가동1층 103호,
내맘대로,강원도 춘천시 공지로451번길 12 (근화동) 춘천시 근화동 283-5,033-242-5551
봉마트,대구광역시 수성구 청호로85안길 24 (범어동) 1층,053-746-7030
럭키미니수퍼,독산로47가길28 서울특별시 금천구 독산2동 1074번지 30호,02-891-4209
송도복지할인마트,포항시남구 송도동 405-37 포항시 남구 송도동 405-37 송도복지할인마트,054-231-3360
LH편의점,제주도특별자치도 제주도시 한림읍 대림4길 20 (한림주공아파트) 상가101호,
성호마트,경상북도 포항시 남구 연일읍 동문로76번길 64 FT24편의점,054-285-9263
주천현대마트,전라북도 진안군 주천면 동상주천로 2221-1 주천현대마트,063-433-6678
형통상회,충청북도 청주시 상당구 상당로69번길 3 (북문로1가) 1층.형통슈퍼,043-256-0245
영일만제터먹거리협동조합,경상북도 포항시 남구 대이로 80 (대잠동) .,054-274-3097
SK뷰 할인마트,"경상북도 포항시 남구 효성로 10 (효자동, 효자 웰빙타운 SK VIEW 아파트 상가동) 상가 107호",054-277-0116
미니네슈퍼,서울특별시 금천구 시흥대로148길 54 (독산동) 104호,
올마트,"충청북도 제천시 탑안로4길 16 (신백동) 상가동 101호(신백동, 덕일한마음2차아파트)",043-643-1746
정마트,전라북도 전주시 완산구 서신천변13길 11 (서신동) -,063-275-1550
한들슈퍼,"전라북도 전주시 완산구 용머리로 194 (효자동1가, 효자주공아파트3단지) -",063-285-4045
포시즌편의점,전라북도 전주시 완산구 봉곡3길 31 (효자동2가) -,
짜임잉꼬마트,"전라북도 전주시 완산구 용리로 179 (삼천동1가, 세창짜임아파트) 세창짜임아파트 상가 101호",063-221-7866
코사마트 비사벌점,"전라북도 전주시 완산구 서원로 258 (효자동1가, 비사벌아파트) 비사벌아파트 상가 101호",063-224-8242
오메가메마트,경상북도 경주시 포석로 1031 (사정동) 상동,054-744-7222
BJ 마트,경기도 동두천시 안창말로19번길 2 (동두천동) 1층,031-867-5506
펀마트,경기도 화성시 용주로 68 (송산동) 1층,031-234-8294
목련슈퍼,"경기도 안양시 동안구 평촌대로179번길 39 (호계동) 108, 109호",031-386-1233
코끼리마트,경기도 안산시 단원구 지곡로 103 (선부동) 1층,
명문슈퍼,경상남도 창원시 마산합포구 자산서 11길 87 1층,070-4954-3651
대영마트,충청북도 제천시 탑안로4길 16 (신백동) 덕일한마음아파트상가,043-652-4009
한아름슈퍼,경기도 안산시 단원구 원일1길 11 (원곡동) 1층,031-495-2344
동양마트,경기도 안산시 단원구 원일길 3 (원곡동) 1층,031-494-3669
현대마트,서울특별시 금천구 독산로 359 (독산동) 959-23,02-865-6949
독산구판장,서울특별시 금천구 독산로92길 8 (독산동) 991-32,02-839-1111
LG슈퍼렛,서울특별시 금천구 독산로58나길 48 (독산동) 378-22,02-807-5282
소양강물류마트,강원도 춘천시 신북읍 신샘밭로 480 신샘밭로 480,033-243-2657
마이샵,서울특별시 강북구 오현로 38 (미아동) 1층,02-988-9500
지마트,충청북도 제천시 용두대로7길 22 (하소동) 1층,043-643-7626
원마트,경기도 안산시 상록구 웃말1안길 2 (일동) 1층,031-418-5842
우신슈퍼,"경기도 안산시 단원구 라성로 40 (원곡동) 반월종합상가 A동 5, 8호",031-484-6062
유성슈퍼,경기도 안양시 만안구 안양로383번길 11 (안양동) 1층,031-465-8310
한아름알뜰매장,경기도 안산시 단원구 화정천서로5길 38 (선부동) 1층,031-482-9522
리빙할인마트,경기도 안산시 단원구 석수로 76 (선부동) 1층,031-402-8686
조은마트편의점,강원도 춘천시 성심로 59 (효자동) 1층,033-262-4900
하나슈퍼,"경기도 안산시 단원구 석수로1길 17 (선부동, 하나빌라) 1층",
서울유통,경기도 안산시 단원구 석수로7길 13 (선부동) 1층,031-487-4959
홈W마트,경기도 안산시 단원구 선여불로 37 (선부동) 1층,031-000-0000
대우슈퍼,경기도 평택시 통복로32번길 19-6 (평택동) 대우슈퍼,
기쁜가게,서울특별시 은평구 갈현로7길 13(역촌동) 1층,
우리식품,강원도 영월군 영월읍 중앙1로 23 우리식품,033-372-3454
중앙할인마트,전라남도 목포시 백년대로266번길 20 (상동) 중앙할인마트,
진로할인마트,경기도 안산시 상록구 당골2길 24 (사동) 1층,031-407-2828
코사마트 미도점,경기도 광주시 초월읍 경충대로 923-1 101호,031-769-0778
해림마트,강원도 홍천군 홍천읍 석화로 31 해림마트,033-434-2616
형제슈퍼,경기도 안산시 단원구 부부로8길 5 (선부동) 1층,031-491-4587
춘고상회,강원도 춘천시 금강로 14 (소양로3가) 14 춘고상회,
플러스할인마트,경기도 안산시 단원구 예술대학로1길 12 (고잔동) 102호,031-482-2141
드림할인마트,충청북도 청주시 서원구 무심서로395번길 2-8 (모충동) 1층,043-265-0263
태양슈퍼,경기도 안산시 단원구 보화로 56 (고잔동) 지하 1층,031-401-4711
온누리마트,"서울특별시 은평구 서오릉로 273 (구산동, 모아퍼스트) A동 제비01",02-356-3561
전진슈퍼,전라북도 전주시 덕진구 떡전3길 15-1(금암동) .,063-274-4890
유성할인마트,경기도 안산시 단원구 와동로6안길 63-6 (와동) 101호,031-482-6371
농심가 공판장,경기도 안산시 상록구 부루지1길 25 (월피동) 1층,031-411-8598
공원편의점,"경기도 안산시 상록구 이호로 148 (본오동, 청룡빌라) 101호",031-415-9019
생큐마트,경기도 안산시 상록구 각골서로 62 (본오동) 1층,031-406-5987
죽도마트,경상북도 포항시 북구 죽도시장길 6 (죽도동 597-1) .,054-246-3709
더조은사계절마트,대구광역시 서구 달서로4길 19 (내당동) 1층 더조은 사계절마트,053-571-0970
홈 할인마트,경기도 안산시 상록구 한양대학3길 4 (사동) 1층,031-407-1253
성안편의점,경기도 안산시 상록구 용신로 197 (사동) 1층,031-501-0806
한양마트,"경기도 안산시 단원구 인현중앙길 38 현대상가 106,107호(고잔동)",031-486-2743
쇼핑촌,경기도 안산시 단원구 화정로안길 28 (와동) 1층,031-414-8249
한양 대성마트,경기도 안산시 상록구 안산천동로2길 8 (월피동) 상가3동 102-1호,031-403-4984
하늘소 할인마트,경기도 안산시 단원구 사세충열로 18 (와동) 1층,031-413-6622
필그림,경기도 안양시 동안구 흥안대로 313 (평촌동) 농수산물시장내,031-421-8583
동원마트,강원도 정선군 사북읍 소금강로 3535 (정선산수빌 아파트) 1층 102동 603호 동원마트,033-591-5591
오마트,서울특별시 동대문구 한천로43길 8(전농동) 1층,
성일할인마트,강원도 정선군 정선읍 녹송1길 17 성일할인마트,033-563-0887
주공마트,경기도 안양시 만안구 경수대로 1272 (석수동) 단지내상가 1층 111호,031-471-9946
감산휴게마트,제주도특별자치도 서귀포시 안덕면 감산중로 32,064-792-1357
진흥슈퍼마켓,경기도 안양시 만안구 수리산로 40 (안양동) 신일빌딩 1층,031-468-6846
만복할인마트,경기도 여주시 가남읍 경충대로 1472-19 (현진에버빌1차아파트) 현진상가B-102호,031-883-0441
행복마트,경상북도 포항시 남구 문예로 72 (대도동) .,054-274-8909
동서할인마트,대구광역시 달서구 이곡공원로 49(이곡동) 305동 단지내 상가 101호(성서3차 동서타운),
뉴서울할인마트,인천광역시서구봉오대로283번길 6뉴서울아파트상가(가정동) 210호,032-567-5022
영동마트,강원도 영월군 영월읍 중앙로 64-1 영동마트 윤영길,
그린슈퍼,경기도 안산시 상록구 막고지2길 14 (본오동) 1층,031-419-0995
케이마트,경기도 동두천시 동광로53번길 59 (생연동) 생연동570-37,031-863-9888
그린마트,경상북도 포항시 북구 삼호로 23 (덕수동) .,054-247-7424
그린할인마트,경상북도 포항시 북구 흥해읍 신흥로 870 104동101호,054-262-8228
녹원슈퍼,"경상북도 포항시 북구 삼흥로100번길 43 (두호동, 산호녹원아파트) 산호녹원상가108호",054-256-2633
포도원슈퍼,경상북도 포항시 남구 효자로118번길 46 (효자동) .,054-277-9336
좋은 마트,경상북도 예천군 호명면 검무로 17 (우방아이유쉘1차) 112동 1층 125호,
좋은 마트,경상북도 예천군 호명면 검무로 17 (우방아이유쉘1차) 112동 1층 125호,
올래슈퍼,제주도특별자치도 제주도시 아연로 120 (오라이동),064-748-4994
한지슈퍼,부산광역시 사상구 낙동대로970번길 23 (감전동) 한지슈퍼,051-324-4357
샛별상회,강원도 영월군 영월읍 중앙1로 14 샛별상회,033-374-3014
두루와편의점,대구광역시 동구 효동로6길 57 (효목동) 1층,053-952-7711
완도한일슈퍼,전라남도 완도군 완도읍 해변공원로 9 .,061-554-0334
에드가마트,전라남도 목포시 동목포길 37(용당동) .,
하당마트,전라남도 목포시 신흥로 2-1 (상동) .,061-287-7171
현대슈퍼,강원도 강릉시 하슬라로 27 (홍제동) 시외버스터미널상가 1-10,033-647-4833
코사마트 은혜점,전라남도 목포시 백년대로307번길 37 (상동) .,
플러스마트,충청남도 천안시 서북구 불당11로 56 (불당동) 1층 플러스마트,041-568-8808
율곡할인마트,강원도 강릉시 율곡로 2984-3 (교동) 율곡할인마트,033-645-2656
우리마트,"경상남도 창원시 마산합포구 노산북6길 22 (상남동, 상남서광아파트) 1층 104호",
미르슈퍼,제주도특별자치도 제주도시 노형로 22 (해안동) .,064-712-4790
우리마트,전라북도 군산시 월명로 418 (선양동) 선양동 227-3,070-7590-3020
코오롱할인마트,대전광역시 서구 동서대로 969 (내동) 1층,042-532-6006
디씨마트,전라북도 군산시 서흥길 23 (문화동) 문화동 903-12,063-471-3236
대원슈퍼,서울특별시 송파구 가락로16길 4 (석촌동) 1층 대원슈퍼,02-417-1226
드림DC마트,광주광역시서구화개2로 16-1,062-523-8885
마인마트,서울특별시 강북구 인수봉로 57 (미아동) 마인마트,02-981-9857
코사마트무지개점,경기도 고양시 일산동구 일산로372번길 31-2 (정발산동) 31-2,031-905-1399
편의점사랑마트(경안점),경기도 광주시 경안안길 57 (경안동) 1층 편의점사랑마트,031-765-6608
성화주공마트,"충청북도 청주시 서원구 장전로 80 (성화동, 성화주공2단지아파트) 상가 104,105호",043-235-5281
향촌마트,"충청남도 천안시 동남구 서부대로 226-11 (신방동, 향촌현대아파트) 향촌현대아파트",041-575-9494
즐거운마트,"전라북도 군산시 영명길 6 (구암동, 세풍아파트) 세풍아파트상가",063-443-4982
참좋은슈퍼,제주도특별자치도 서귀포시 일주동로 8806 (서홍동),064-732-1001
코아루마트,충청북도 제천시 강제동 805 센트럴코아루아파트상가 101호 (390-160),043-653-4500
신율편의마트,충청북도 청주시 흥덕구 신율로 147 (복대동) 1층,043-235-6949
주공슈퍼,"서울특별시 노원구 중계로 230 (중계동, 중계5단지주공아파트) 주공2상가 105호 주공슈퍼",02-951-3100
영상마트,전라북도 김제시 백구면 금백로 1220 1층,063-542-2125
블루아라마트,제주도특별자치도 제주도시 금월길 46 (아라이동),
킹할인마트,경기도 용인시 기흥구 구갈로28번길 27 (구갈동) 1층,031-281-7065
행복마트,"전라남도 목포시 연산로159번길 25 (산정동, 대화타운아파트) 1층 행복마트",061-273-4476
만석그린슈퍼,인천광역시 동구 제물량로 401 (만석동) 만석그린슈퍼,032-764-1789
삼성쉐르빌마트,"전라북도 군산시 경포천로 66 (미장동, 삼성쉐르빌아파트) 상가 상가 102~103호",063-445-1023
청구그린슈퍼,경상북도 상주시 경상대로 2811 (신봉동) 537-1,054-535-1009
한양마트,서울특별시 송파구 가락2동 142-3 101호,02-404-6660
우리농산물마트,서울특별시 송파구 마천로45길 28 (마천동) 144-10번지1층,02-409-7767
우리들경동점,울산광역시 남구 봉월로 83 (신정동) 신정동,052-271-5158
낙양경희마트,"경상북도 상주시 낙양3길 31 (낙양동) ,제상가동(경희삼백아파트) 경희마트",054-536-4412
오렌지마트,인천광역시 부평구 부흥로359번길 32(부평동),02-409-5579
삼전마트,송파구삼전동169-21 1층,02-414-4068
대신마트,경상북도 예천군 예천읍 봉덕로 25 대신마트,054-655-5599
해피데이마트,서울특별시 송파구 동남로6길 14 (문정동) (문정동1층),02-409-9792
학사슈퍼,충청북도 진천군 진천읍 문화3길 51-7 105동,070-4113-7797
궁동쿨할인마트,대전광역시 유성구 대학로75번길 58 (궁동) 1층,
이타임24시도량점,경상북도 구미시 도봉로 7 (봉곡동) 골든프라자 106호,070-7776-6287
진천마트,충청북도 청주시 흥덕구 가경로 88 (가경동) 덕일상가 15동 101호 진천마트,
건영마트,"서울특별시 관악구 신림로3길 40 (신림동, 건영아파트) 건영3차 아파트단지내 상가 111,112,113호",02-874-0347
행복유통,경상북도 포항시 남구 효성로82번길 8 (효자동) .,054-282-5475
플러스마트,"강원도 춘천시 후만로98번길 9 (후평동, 후평주공4단지아파트) 상가106호",033-253-3210
오거리슈퍼,경상북도 문경시 당교3길 2 (모전동) 오거리슈퍼,054-000-0000
코사마트1호점,전라북도 군산시 구영신창길 31 (월명동) 코사마트1호점,063-445-5950
행운할인마트,대구광역시 남구 앞산순환로99길 32 (대명동) 1층,053-622-8490
stay 편의점,경상북도 칠곡군 석적읍 동중리2길 22 stay 편의점,054-977-8480
장군이네,제주도특별자치도 제주도시 산지로 23-2 (건입동),064-753-1545
한마음슈퍼,경기도 안양시 동안구 경수대로883번길 40 (비산동) 1층,031-449-1827
그린맘마트,전라남도 목포시 비파로 140 (상동) 상동 787-10,061-283-1535
엘지슈퍼,경기도 평택시 진위면 동부대로 41 (한승아파트) 상가 105호106호,031-611-4330
대동다숲할인마트,"경상남도 창원시 진해구 행암로 25 (장천동, 대동다숲) 122동상가101-103호",055-542-7880
재경슈퍼,태백시소도동16ㅡ17 태백시소도길49,033-554-4132
대림마트,"강원도 강릉시 수리골길17번길 21 (교동, 교동대림아파트) 대림마트",033-652-6610
뉴아람마트,경상남도 창원시 진해구 진해대로864번길 16 (석동) 1층 뉴아람마트,055-552-8987
센트럴 S마트,서울특별시 노원구 상계동 712-91 공공주택단지내상가 103동 101-1,02-939-1465
장연수퍼마켓,서울특별시 관악구 대학길 122 (신림동) 장연활인마트,02-871-3773
킴스클럽마트,울산광역시 북구 송내14길 20 (화봉동) 화봉동,052-288-9940
홍일할인마트,울산광역시 중구 산전5길 17 (동동) 동동,
부광슈퍼,경기도 광명시 광명로814번길 18-1 (광명동) 1층,02-2682-1893
중앙할인마트,"경기도 광명시 덕단이로 115 (광명동, 중앙하이츠아파트2차) 중앙하이츠상가동지층1호",02-2616-8742
청구마트,"경상남도 창원시 마산합포구 완월남6길 9 (완월동) 108동, 203호(9상가)",055-242-1988
럭키마트,강원도 춘천시 영서로 2317(온의동) 온의럭키아파트 상가 11호,033-241-3303
도신할인마트,서울특별시 영등포구 대림로34길 25-2 (대림동) 도산할인마트,02-831-8327
경기마트,경기도 의정부시 흥선로16번길 92 (가능동) (가능동),031-873-0384
코사마트대림점,서울특별시 영등포구 도림로61길 19 (대림동) 코사마트(대림점),02-842-0148
코리아마트(2호점 봉계점),전라남도 여수시 좌수영로 682-27 (봉계동) 106~108호(로얄골드빌 제상가동),061-692-1110
거성유통,대구광역시 동구 방천로 22-1 (불로동) 1층,
형수슈퍼,제주도특별자치도 서귀포시 남원읍 남조로 366,064-764-0601
엑스포할인마트,"전라남도 여수시 박람회길 57 (덕충동) 상가 105호, 106호",061-662-3030
미니부스편의점,경기도 용인시 기흥구 동백중앙로16번길 16-25 (중동) 지하 1층 미니부스편의점,031-8021-0828
1등 행운로또,"충청남도 아산시 온천대로 1315 (방축동, 한성아파트) 1등 행운로또",041-532-0788
월드마트,경기도 수원시 영통구 영통로290번길 23 (영통동) 월드마트,031-202-0315
드림 DC 마트,구미시 형곡동 345-5 효성장미 8차 101호,054-457-2513
대성상회,서울특별시 관악구 양지15길 1 (신림동) 신림동 363-24,02-885-7323
현진마트,"강원도 춘천시 지석로 63 (석사동) 상가동107,108",033-256-4474
GS25울산광복점,울산광역시 중구 옥교5길 39-3 (옥교동) 옥교동,052-246-3733
그린슈퍼,경기도 평택시 송탄2로 18-1 (서정동) 그린슈퍼,031-668-1537
영성마트,제주도특별자치도 제주도시 전농로 32 (삼도일동),064-752-8392
학산슈퍼,강원도 철원군 동송읍 이평로111번길 28 (학산빌라) A동 101호,033-455-6554
영양마트식육점,경상북도 영양군 석보면 원리길 14-1 1층,054-682-8022
부영할인마트,"전라남도 여수시 도원로 204 (안산동, 부영5차아파트) 부영5차상가 지하1호",061-691-7300
백상상회,경상북도 경주시 건천읍 내서로 1168 1층 E호,054-777-3788
위드,서울특별시 서대문구 성산로 567-8 (대신동) 1층 슈퍼문구잡화,02-312-0640
오투플러스마트,전라북도 군산시 축동로 33 (수송동) 아름다운강산1층1호,063-466-5202
슈퍼맨마트,"전라북도 군산시 번영로 188-22 (조촌동, 신우하나로아파트) 상가1호,2호",063-452-3933
코사마트,서울특별시 서초구 청두곶8길 42 (방배동) 1층,
복개천,강원도 철원군 철원읍 금학로252번길 15 1층,
나이스마트,전라북도군산시나운동1519 전북군산시나운안길65,063-466-6883
해피마트,전라북도 군산시 궁멀길 55-10 (구암동) 휴먼시아상가101호,063-463-7797
세영리첼마트,전라북도군산시수송동로100세영리첼상가101호102호 100세영리첼상가101호102호,063-461-0707
중앙마트,경기도 안산시 단원구 선부광장1로 121 (선부동) 상가 다-101호,031-401-9794
한아름마트,전라남도 여수시 관문2길11(관문동) 여수시 관문동 298 번지,061-663-5818
베니떼,대구광역시 남구 두류공원로 77 (대명동) 전인병원 3층 베니떼,
경원메가마트,"부산광역시 북구 모분재로149번길 27(구포동) 상가동 101호,102호(경원골든아파트)",051-336-5949
계림마트,충청북도 청주시 서원구 사직대로 309 (사직동) 청주시 서원구 사직동 236-66,043-216-3104
우리할인마트,"전라남도 여수시 덕양로 157 (화장동, 무선주공3단지아파트) 882번지 106호 우리마트",061-684-7070
정우한솔마트,전라북도 정읍시 정우면 정신로 586 정우한솔마트,063-537-9906
보우마트,경상북도 경주시 동성로 14 (성건동) 보우마트,054-749-0939
늘푸른장터,강원도 춘천시 칠전서길 46-25 (칠전동) 강원도 춘천시 칠전동 46-25 1층,033-264-2001
코아루마트,충청남도 천안시 서북구 신당새터2길 78-1 (신당동) 신당동 55 코아루마트,041-555-5694
금강산콘도슈퍼,강원도 고성군 현내면 금강산로 416,
주공슈퍼,"경기도 수원시 팔달구 창룡대로210번길 13 (우만동,주공3단지아파트) 101호",031-254-1020
삼안마트,경상남도 김해시 삼안로153번길 10 (삼방동) 1층,055-905-5376
아싸마트,경상남도 김해시 평전로 59(외동) .,055-335-2788
팝스토어신갈편의점,경기도 용인시 기흥구 용구대로 2257-7 (신갈동) 101호,
한일슈퍼,경기도 수원시 팔달구 팔달문로103번길 34 (지동) .,031-245-4947
삼숭슈퍼,경기도 양주시 어하고개로 115 (삼숭동) 삼숭슈퍼,031-840-0230
안정수퍼,경상북도 포항시 북구 청하면 해안로 2366 .,054-232-3828
원마트,대구광역시 수성구 신매로16길 24 (신매동) 1층 576,053-793-0224
낙원휴게소,충청북도 제천시 의림대로 497-45 (모산동) 0,043-643-6430
LK마트,"서울특별시 양천구 목동동로 350 (목동, 목동신시가지아파트5단지) C동109호",070-7641-2848
마트플러스,서울특별시 구로구 시흥대로161가길 12 (구로동) 해마루1층,02-851-2355
대왕푸드,충청북도 제천시 내토로 486-2 (화산동) (화산동),043-645-9993
신월1리구판장,경기도 광주시 초월읍 두둘기길 41 (경기도 광주시 초월읍 신월리 633-18),031-769-8163
초원마트,충청남도 아산시 음봉면 음봉로681번길24 상가동111호(초원아파트),041-575-5485
건강마트,경기도 부천시 원미구 길주로 325 (중동) 리치타운오피스텔104호,032-327-6651
24시편의점,경기도 용인시 기흥구 이현로29번길 17-1 (보정동) 24시편의점,031-262-0769
무등청과마트,"광주광역시 남구 봉선2로 96-14 (봉선동, 무등2차아파트) 상가동 206호",062-672-9298
삼성마트,경상북도 포항시 북구 탑산길 62 (용흥동) 아파트상가,054-246-7112
연일마트,경상북도 포항시 남구 연일읍 철강로25번길 26 연일마트,054-285-2598
한옥할인마트,경상북도 포항시 북구 법원로40번길 22-10 (장성동) 한옥할인마트,054-231-6006
그린마트,경상북도 포항시 남구 새천년대로460번길 15-2 (대잠동) 그린마트,054-281-9286
한옥할인마트 두산점,"경상북도 포항시 북구 새천년대로 1235 (장성동, 두산위브더제니스아파트) 한옥할인마트 두산점",054-253-6900
해찬솔마트,충청북도 제천시 학사촌길 20 (신월동) 1층,043-651-0775
나이스마트,경상북도 포항시 남구 오천읍 냉천로340번길 5 나이스마트,054-277-1997
천마유통,경상북도 포항시 남구 오천읍 정몽주로 333 (천마타운1차) 108-101(상가),054-292-4985
반도슈퍼,경상북도 포항시 남구 문예로 109 (대도동) 반도수퍼,054-282-5516
신광유통,김해시 진례면 고모로 581번길1 김해시 진례면 고모로 581번길1,055-343-2285
애플마트,전라북도 전주시 덕진구 가리내3길 1 (덕진동2가) 푸른빌,063-276-1171
현대슈퍼,강원도 동해시 삼화1길 36 (이로동) 현대슈퍼,033-534-8248
한솔슈퍼,충청북도 옥천군 옥천읍 금장로 11 .,043-000-0000
동원슈퍼,울산광역시 동구 번덕7길 20 (일산동) 일산동,052-232-6760
소망슈퍼,경기도 안양시 동안구 흥안대로81번길 36 (호계동) 1층,
행운슈퍼,경기도 안양시 만안구 만안로 280(안양동) 1층 102호,070-4112-4851
코아마트,인천광역시 동구 쌍우물로 36 (화수동) 코아마트,032-777-0109
고려마트,인천광역시 동구 수문통로 35 (송현동) 고려마트,032-762-6294
오마트(호평점),경기도 남양주시 호평로68번길 5 (호평동) 1층,031-511-8953
송현슈퍼,인천광역시 동구 인중로 635-20 (송현동) 송현아파트 라이프상가 내 송현슈퍼,032-773-8379
G마트,인천광역시 동구 화도진로44번길 15 (송현동) G마트,032-772-1587
현대수퍼,서울특별시 동작구 만양로14가길 26 (노량진동) 노량진2동 256-38 현대슈퍼,02-815-3627
에이스마트,경기도 파주시 파평면 청송로 510 에이스마트,031-959-3326
화인마트,전라남도 광양시 광양읍 호북길 11 .,061-761-7733
황금마트,인천광역시 서구 승학로506번길 27-3(검암동) .,
양지마트청과,인천광역시 동구 금곡로 81 (송림동) 송림동,032-766-7217
FRESH COCO,서울특별시 강동구 올림픽로89길 39 (천호동) 1층 FRESH COCO,02-474-2322
싱싱마트,경기도 안양시 동안구 평촌대로 408 (비산동) 비산동 1층 코너,031-386-2747
우리마트,충청북도 청주시 청원구 우암로 65 충청북도 청주시 상당구 내덕동297-8,043-222-0088
솔빛행운마트,인천광역시 동구 송현로 24 (송현동) 솔빛B상가203호,032-773-7887
그랜드,인천광역시 동구 동산로 74 (송림동) 구. 송림동 66-31,032-766-2076
용진슈퍼,경기도 부천시 소사구 성주로 99 (송내동) 439-5,032-651-6962
미성마트,"서울특별시 노원구 한글비석로56 102호 (하계동, 미성아파트상가) 서울 노원구 한글비석로56 102호 (하계동, 미성아파트상가)",02-973-7775
나드리마트,충청북도 제천시 하소로 1안길 8-1(하소동),043-642-8249
매화마트,"경기도 안양시 동안구 부림로 55 (평촌동, 초원대원아파트) 초원아파트 상가 101-1",031-381-2028
한국유통,서울특별시 송파구 백제고분로41길 18 (송파동) 1층,02-418-0887
옐로우시티,전라남도 장성군 황룡면 하사1길 45 옐로우 시티,061-392-1822
케이할인마트,충청남도논산시 부창로98(취암동),041-733-0675
한아름슈퍼,경기도 안양시 만안구 안양로148번길 5 (안양동) 1층,031-468-9570
썬마트,경기도 안양시 만안구 박달로525번길 31 (박달동) 1층,031-448-8465
금호유통,"인천광역시 서구 봉화로 18 (왕길동, 드림파크어울림1단지) 상가 금호마트",032-562-1166
예스25,서울특별시 종로구 창경궁로 112-17 (인의동) 예스25,02-763-8426
캄보디아 더홈,전라남도 영암군 삼호읍 대불주거5로 27 용앙리1682-6,070-8638-6232
솔마트,구리시 아천동 89,031-565-3003
풍산마을영농조합,강원도 화천군 화천읍 평화로 1142-2,033-441-1213
훈이할인마트,경상남도 통영시 중앙로 47-2 (도천동) 훈이할인마트,
라온유마트,전라남도 여수시 상암로 8 (둔덕동) 102호 라온유마트,
영비천유통(구.영편의점),경기도 이천시 경충대로 2560-3 (중리동) 파티마 병원 앞 영편의점,031-637-8922
롯데슈퍼,"경기도 광명시 새터로 114-1 (광명동, 진주빌라) 진주빌라 1층호",070-8615-2740
신탄할인마트,대전광역시 대덕구 신탄진북로 24 (신탄진동),042-931-5800
신세계슈퍼,경기도 안양시 동안구 평촌대로401번길 22 (비산동) 1층,031-382-7312
우리할인마트,"경기도 의정부시 오목로 171 (민락동, 서광청구아파트) 서광아파트 상가 109호",031-852-1010
스카이정원마트,경기도 화성시 서신면 해안길 338 290-7,031-366-9163
봉봉이네휴게소,제주도특별자치도 제주도시 조천읍 일주동로 853 0,064-782-2678
다움마트,제주도특별자치도 서귀포시 표선면 가시로 13 0,064-787-7972
엠마트도원점,전라남도 여수시 도원로 145 (선원동) 엠마트도원점,061-684-3883
주공한아름마트,"전라남도 여수시 덕양로 157 (화장동, 무선주공3단지아파트) 분산상가 102호 103호 104호",061-681-7799
코아루마트,충청북도 진천군 광혜원면 구암길 11 (광혜원코아루아파트) 상가 105호 충북 진천군 광혜원면 광혜원리 1085 코아루아파트 상가 105호,043-535-3188
나들가게,경상남도 김해시 활천로 208 (어방동) 35,055-321-0597
대동슈퍼,김해시 장유1동 대동1단지 상가 104호 000,055-328-1121
서문동마트,경상북도 상주시 삼백로 135 (서문동) 23-1,054-536-3145
한아름슈퍼,경기도 부천시 오정구 삼작로 507(작동) 한아름슈퍼,032-673-0240
한아름마트,경상북도 구미시 도봉로5길 51 (도량동) 1층,054-442-0045
진희쌀엘림마트,경기도 부천시 원미구 부천로185번길 23 (춘의동) 217-3번지 진희쌀엘림마트,032-662-9675
한사랑슈퍼,경기도 안양시 만안구 양화로72번길 83-21 .,031-444-0781
콜마트,경상북도 포항시 남구 중앙로134번길 29-6 (해도동) .,054-284-8090
하동슈퍼,제주도특별자치도 서귀포시 하원로 5 (하원동) 1층,064-738-0921
흥해사랑마트,경상북도 포항시 북구 흥해읍 중성로 76 .,054-262-2999
마트21,제주도특별자치도 제주도시 관덕로8길 10 (삼도이동) 1층,064-757-0131
럭키코사마트,제주특별자치도 제주시 중앙로 85(이도일동) 1층 지하층,064-746-5992
레몬마트,충청북도 음성군 금왕읍 대금로 1557-13 (음성금석엘에이치아파트) 상가102호,043-877-5443
예림슈퍼,부산광역시 북구 은행나무로 38 (만덕동) 852번지 1층,051-335-4249
호박슈퍼,경상북도 김천시 부곡맛고을3길 36 (부곡동) 부곡동,
25시슈퍼,경기도 화성시 삼성1로6길 11-8 (반월동) 1층,031-203-6494
조은마트,경상북도 구미시 산호대로24길 9-41 (옥계동) 화인빌 1층,054-536-3145
해그린마트,전라남도 보성군 보성읍 현충로 12 성암해그린,061-853-6543
동아마트,"전라북도 군산시 동아로 160 (소룡동, 동아아파트) 동아상가 2-1",063-465-4601
오렌지편의점(천마총점),경상북도 경주시 태종로 751 (노동동) 276-1,054-772-5400
신바람마트,서울특별시 금천구 독산로106길 10 (독산동) 신바람마트,02-852-8100
병운할인마트,충청북도 청주시 흥덕구 사직대로11번길 11 복대동 630-7,043-265-0808
청하할인마트,서울특별시 금천구 독산로 318 (독산동) 청하할인마트,02-882-1225
혜천마트,대전광역시 서구 복수남로 50 1층 101호(복수동),042-581-1790
주공희영마트,충청북도 제천시 죽하로 26 (장락동) 1단지아파트상가101호102호,043-642-3343
동해유통,경상북도 경주시 서라벌대로 322-16 (탑동) 쉼터광광매점,054-741-4693
